Job Title,Comapny Name,Location,Job Description,Link
Data & Applied Sciences: Intern Opportunities,Microsoft,"Vancouver, BC","Every year, we welcome thousands of university students from every corner of the world to join Microsoft. You bring your aspirations, talent, potential—and excitement for the journey ahead.At Microsoft, Interns work on real-world projects in collaboration with teams across the world, while having fun along the way. You’ll be empowered to build community, explore your passions and achieve your goals. This is your chance to bring your solutions and ideas to life while working on cutting-edge technology. The internship is designed not only for you to do great work with the opportunity to learn and grow, but to experience our culture full of diverse community connection, executive engagement, and memorable events.We’re a company of learn-it-alls rather than know-it-alls and our culture is centered around embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. Does this sound like you? Learn more about our cultural attributes.Are you ready to join us and create the future? Come as you are, do what you love—start your journey with us today!ResponsibilitiesAs a Data Scientist intern, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results.QualificationsCurrently pursuing a bachelor's or master's in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology and or other quant-focused field with at least one semester/quarter remaining after internship.Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.Some experience and or project course work with product and service telemetry systems.Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.Ability to interact with peers and stakeholders to drive product and business impact.Strong interpersonal and communications skills.Visit our Careers FAQ Page to learn more about the interview process and answers to commonly asked questions.Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://ca.indeed.com/rc/clk?jk=4dc6347d7b3409f2&fccid=734cb5a01ee60f80&vjs=3
Clinical Data Scientist Lead (All Levels),PRA Health Sciences,Remote,"OverviewICON plc is a world-leading healthcare intelligence and clinical research organisation. From molecule to medicine, we advance clinical research providing outsourced services to pharmaceutical, biotechnology, medical device and government and public health organisations.With our patients at the centre of all that we do, we help to accelerate the development of drugs and devices that save lives and improve quality of life.Our people are our greatest strength, are at the core of our culture, and the driving force behind our success. ICON people have a mission to succeed and a passion that ensures what we do, we do well.Overview:Leads end-to-end data review activities performed on a clinical trial.Accountable for achieving clinical data management deliverables on-time, with high quality and to agreed financial metrics.Responsible for applying advanced analytics to centrally aggregate and analyze data from disparate sources to identify risks and issues impacting data integrity, patient safety and/or regulatory compliance. Triages and assigns data review findings to the appropriate project team role for follow-up and resolution.Communicates trending analyses and a summary of findings to internal and external stakeholders to support the on-time delivery of data fit for analysis.ResponsibilitiesServes as the primary contact for internal and external team members regarding clinical data management data review activities and leads these review activities to ensure the delivery of data fit for analysis.Provides input into clinical system development activities, to ensure systems support the data review needs of the study, focusing on critical data and processes, and identified risks.Ensures clinical data management review requirements are put into production per the study’s protocol risk evaluation and integrated data review plan (IDRP), and that ongoing data review activities are compliant with study plan requirements.Contributes to the development and maintenance of study plans documents specifying data review strategy and applicable procedures on assigned protocols/projects, including but not limited to data management plan.Develops and oversees timeliness of clinical data management activities during the life cycle of studies as it relates to data review and data delivery milestones.Centrally reviews clinical data at aggregate level, using analytic reporting tool(s) to support the identification of risks and data patterns/trends. Mitigates risks by using signal detection and quality indicators.Communicates and triages issues to appropriate roles for follow-up and action to address root cause.Proactively identifies out-of-scope clinical data management activities to the study project managers to be implemented in required change orders.Leads and hosts the data monitoring meetings, communicating issues to the internal and external stakeholders in a meaningful way such as summarizing the data and representing the information visually.Leads clinical data management activities on more complex projects with diverse scope.Accountable for creating and maintaining clinical data management timelines, to oversee and achieve high quality interim and final contractual deliverables for more advanced projects.Using detailed knowledge of the protocol, identifies critical data and processes from protocol review, and supports protocol risk evaluation process.Works with assigned project teams to communicate, address and resolve complex datarelated questions and recommends potential solutions; escalates issues which potentially impact patient safety or study analysis.Trains and mentors new and less experienced team members.Participates in sponsor and/or third party audits.Develops tools/analytics used to monitor compliance and identify trends.Actively seeks new business opportunities with assigned clients and collaborates with internal colleagues for new business initiatives.Develops and maintains data review study documentation as appropriate to facilitate data validation and analytics.Performs complex analytic reviews as defined in the scope of work and functional plan, focusing on errors that matter or have a meaningful impact on the safety of the subject or interpretations of the final analysis.Identifies root cause to systematically resolve complex data issues.Sets expectations and ensures consistency in data review approach and compliance and identifying trends.May help to write articles for industry publications and give presentations at industry conferences.QualificationsBachelor’s degree in quantitative, scientific or health related field required.*8 years of relevant experience required.Knowledge and/or understanding of analytic open source and/or enterprise level ETL and Analytic tools and practicesSound knowledge of analytic modeling methods such as regression, classification and clusteringStrong programming skills in applicable systems, e.g., R, SQL, Python, SASSkill to efficiently navigate through large volumes of complex data, to interpret complex data problems, and to apply technical solutions.Ability to analyze a complex data issue and design paths to effective potential solutions, understanding the impact of suggested solutions and to help the project team make better decisions.In-depth knowledge of the drug development process including risk-based monitoring principles, clinical and biometrics procedures, workflows, and software systems.Expertise in interpreting protocols and identifying risks and appropriate mitigation strategies for clinical studiesExcellent skill in aggregate data review and interpretation using visualization/ analysis software, e.g., JReview,Tableau, SASExcellent project management and leadership skillsExcellent written and verbal communication and presentation skillsAbility to work collaboratively and effectively in a cross-functional and culturally diverse teamAdvanced ability to proactively represent data management internally and externally for all study related items and find pragmatic solutions in compliance with regulatory requirements and policies.Equivalent combination of education, training, and relevant experience may be considered in place of the education and experience statedabove. All employees must read, write and speak fluent English and host country language.GENERAL:To qualify for a role located in the U.S., applicants must be legally authorized to work in the United States and should not (now or in the future) require sponsorship for employment work visa status.Benefits of Working in ICON:Our success depends on the knowledge, capabilities and quality of our people. That’s why we are committed to developing our employees in a continuous learning culture – one where we challenge you with engaging work and where every experience adds to your professional development.At ICON, our focus is to provide you with a comprehensive and competitive total reward package that comprises, not only an excellent level of base pay, but also a wide range of variable pay and recognition programs. In addition, our best in class employee benefits, supportive policies and wellbeing initiatives are tailored to support you and your family at all stages of your career - both now, and into the future.ICON, including subsidiaries, is an equal opportunity and inclusive employer and is committed to providing a workplace free of discrimination and harassment. All qualified applicants will receive equal consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application process, or in order to perform the essential functions of a position, please let us know.",https://ca.indeed.com/rc/clk?jk=a78862de9d83a486&fccid=59237124d676ae4d&vjs=3
data scientist,ASTEK Canada Inc.,"Remote in Montréal, QC",Personal SuitabilityInitiativeTeam playerExcellent oral communicationExcellent written communicationClient focusOrganizedWorkplace informationRemote work availableHealth benefitsHealth care planDental planLong term benefitsLife insuranceRegistered retirement savings plan (RRSP),https://ca.indeed.com/rc/clk?jk=5bd7e72b1aebb277&fccid=ac1fd6324894c165&vjs=3
Data Scientist,Cognizant,"Mississauga, ON","Project ManagerQualification:Bachelors in science , engineering or equivalentResponsibility:Project Planning and Setup:Understand project scope.Based on the analysis of the type of the project provide inputs on project methodology to senior stakeholders (Project Manager / Architects etc).Consolidate inputs from developers and collectively provide inputs on activities/ tasks, task level estimates, schedule, dependencies, risks etc.Consolidate inputs from developers and collectively provide inputs to testing strategy, configuration, deployment, hardware/software requirement etc.Analyze in detail resources required for every phase, conduct estimation of time utilization of different resources and activities, prepare resource and development plan or provide inputs and review with PM.Participate in KT sessions conducted by customer/ other business teams.Requirement Understanding and Analysis:Along with the Business Analyst, gather requirements (functional and nonfunctional) from customer.Analyze requirements for feasibility with regards to testing and implementation.Provide inputs for requirements prioritization.Debrief team on the requirements gathered and seek feedback.Participate in client calls and seek clarifications if any.Create and maintain requirements traceability matrix along with BA.Provide inputs during creation of operational concepts and scenarios.Work with administrators to setup security requirements.Design:Understand various functional and non functional requirements and HLD in order to provide inputs to create LLD and review.Recommend make/ buy or alternate solutions.Provide inputs in designing end to end solution from a technical perspective.Create code development checklist.Prepare UI specifications / mock ups for reports / dashboards and provide guidance to team members/ designers for creating data mapping documents or unit documents for ETL & BI.Provide inputs to data modeling based on the project understanding.Walkthrough the design along with PM to the customer and coordinate to seek signoff on design and other artifacts.Coding:Guide team in coding as per design.Define the Development framework, reusable templates based on the organization repository and past experience.Allocate modules to developers for coding.Provide inputs for setting up development environment.Provide guidance to developers and set standards.Review pseudo codes written by developers and provide a go ahead for code development.Review final codes written by developers on adherence to standards/functionality and approve for testing.Monitor code merge to build environment and provide consolidated feedback to design.Testing Management:Provide inputs to testing strategy / approach at a high level.Review test cases written by team.In case of small projects, review/ guide for SIT and other testing.Provide support for development of unit/ integration test cases as required.Check if peer review is completed at each step of test execution.Monitor defects raised and closed.Conduct root cause analysis to avoid repetition of defects.Follow up with team assigned for rework on code defects and close the same.Attend QA audits as and when required.Deployment:Setup instructions.Understand release and deployment environment and provide inputs for release/deployments plan.Resolve issues that arise during project deployment/ closure.Check that all action items mentioned in the deployment checklist have been completed.Monitor and review smoke testing, mock runs.Project Execution Monitoring & closure (Support to Project Management activities):Provide status inputs to the project manager.Support Project Manager in creating a weekly status report including tasks achieved in the week and plan for next week.Provide guidance to team through SDLC.Track metrics wrt plan and monitor the same.Collect and present metrics (utilization, time spent on each activity / team etc) to the Project Manager.In case of change in the project, support in creating a first level impact analysis.Support project manager in gathering all documents required for audits and maintain them regularly.Service Support and Maintenance:Create transition plan.provide transition walkthrough to the maintenance team.Stakeholder Management:Understand internal stakeholders (Account Manager, Project Managers etc) and client expectations.Follow through on commitments, achieve timely resolution of issues.Knowledge Management:Provide guidance to team members to maintain all documentation related to project.Create/ guide creation of knowledge articles on the problem, workaround solutions, best practices, new methodology implemented, retrospection report etc.Monitor and report the usage of knowledge articles.People Management:Provide assistance in selection of representative employee groups for training.Conduct training or knowledge sharing sessions.Mentor team members in project teams with respect to product and domain skills on projects.Conduct technical, face to face interviews.Conduct / support managers in conducting appraisals for team members and share final ratings with the relevant stakeholders.Coordinate with the project/program manager in understanding how the employee can better contribute to the project, seek feedback and address concerns.Sales Support:Understand RFP.Participate in ongoing calls with the vertical team members.Provide references.Create relevant parts of the proposal and identify the case studies to be included.Provide time and resource estimates based on technical complexity and type of work done earlier.List out the challenges, dependencies, assumptions and timelines required for the project under guidance.Provide inputs on technology preference based on the project requirements.Review with the applicable vertical teams and incorporate their feedback.Must Have SkillsBig DataApache SparkEmployee Status : Full Time EmployeeShift : Day JobTravel : NoJob Posting : Mar 22 2022About CognizantCognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant.",https://ca.indeed.com/rc/clk?jk=808d268a5ee15a6b&fccid=e86fdc5dc532f91b&vjs=3
Data & Applied Sciences: Full Time Opportunities for Univers...,Microsoft,"Vancouver, BC","Every year, we welcome thousands of university graduates from every corner of the world to join Microsoft. You bring your aspirations, talent, potential—and excitement for the journey ahead.At Microsoft, our mission is to empower every person and every organization on the planet to achieve more and when you begin your career with us, we empower you through the Microsoft Aspire Experience. Those hired into this role are invited to participate in this two-year learning and development experience where you'll build your network, cultivate intentional capabilities and gain perspective into the career opportunities across Microsoft’s many exciting businesses.We’re a company of learn-it-all’s rather than know-it-alls and our culture is centered around embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. Does this sound like you? Learn more about our cultural attributes.Are you ready to join us and create the future? Come as you are, do what you love—start your journey with us today!ResponsibilitiesAs a Data Scientist, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results.QualificationsCurrently pursuing or completed a bachelor's or master's degree in computer science, engineering, or related field.Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.Some experience and or project course work with product and service telemetry systems.Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.Ability to interact with peers and stakeholders to drive product and business impact.Strong interpersonal and communications skills.Visit our Careers FAQ Page to learn more about the interview process and answers to commonly asked questions.Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://ca.indeed.com/rc/clk?jk=b227cede985f2e0b&fccid=734cb5a01ee60f80&vjs=3
Data Scientist (Coop),Ecoation,"Vancouver, BC","Here is an opportunity to join a team of talented and driven professionals working on technology solutions that help agriculture and food production. Ecoation has designed and developed an AI robotics platform that evaluates crop health in commercial greenhouses internationally, eliminating the need for mass chemical pesticide usage. With exciting products hitting the market in the coming months, we are looking for candidates who are passionate about high technology, food, innovation, and sustainability. Ecoation is seeking Data Scientist Coops to join our team.We support our customers completely, we accomplish great things as a team, we are passionate about enabling a cleaner future for everyone, we act like owners, diversity in all that we do is our strength, success comes because we are great learners, we are persistent and forthright and realistic, and our optimistic nature allows us to take on any challenge.In This Role you will :Develop and test data analytics, machine learning procedures and algorithms in PythonDevelop and test software applications to host data analytic visualizationsMonitor, test, and debug the data pipelineHelp optimize and automate ongoing processes/routines.Construct classification models using developed machine learning toolsDocument developed features in the applicationUnderstand, support, test, and troubleshoot production machine learning applicationsEducation, Skills & ExperienceCurrently working towards a Bachelor's in Computer Engineering, Computer Science, Engineering, Science or equivalentprevious experience with pythonprevious experience with running SQL",https://ca.indeed.com/rc/clk?jk=0b488fcde3457fd7&fccid=13c8ced0399f2726&vjs=3
Data Scientist,BluWave-ai,"Remote in Ottawa, ON","At BluWave-ai our mission is to deliver innovative AI solutions to accelerate the transformation towards renewable energy. We apply AI software to increase the use of clean energy in smart grids and microgrids with distributed energy resources and demand response. We are also driving the transition to electrification of transportation as the grid becomes the local gas station. We are looking for talented people with entrepreneurial drive to seize on the ground floor opportunities, grow their careers, and make a positive impact for the environment.1. Who you areA Data Scientist, with professional experience or equivalent applied research, strongly motivated by building impactful and dependable products based on pragmatic and rigorous application of ML techniques.You have the drive to learn, evaluate, and apply a range of data science and ML techniques. The applications are real-time smart grid control and optimization solutions in the context of best scalability, availability, and security principles.You are a pragmatic innovator who thrives in a fast-paced, disciplined, and team-oriented environment where we strive individually while supporting, learning from, and building on each other's ideas and efforts to succeed as a team. You have strong verbal and written communication skills with the ability to distill complex technical concepts to the level that non-specialists can comprehend. You are effective at teamwork, and you enjoy mentoring.2. What you are Responsible forAnalysis, design, and implementation of ML solutions to prediction and optimization tasks.Develop statistical and machine learning solutions for analysis, data mining, and modeling of IOT data.Develop resilient testing strategies to monitor model performance.Prepare documents and presentations to inform and demonstrate.3. Your Knowledge, Experience, and SkillsRequired:Experience as a ML/data scientist within a commercial environment, or equivalent academic research experience with pragmatic experimentation or industry collaborative projects.Experience with cleaning, reshaping, exploring, and visualizing data in various formats.Strong programming knowledge and skills in Python, including Object Oriented techniques, Modules (i.e. more than scripting)Experience with the Machine Learning Lifecycle (i.e. scoping, data review, data processing, feature extraction, model development, testing, troubleshooting, performance monitoring)Familiarity with machine learning tools and platforms such as TensorFlow, Keras, etc.Considered an asset:Experience in developing ML techniques for time-series prediction: e.g. regression, support vector machines, and neural networks.Familiarity with control and optimization of modern power and energy systems.Educational Requirements:MSc or PhD in Mathematics, Statistics, Computer Science, or related data-intensive fields. Exceptional Candidates with a Bachelor's degree with strong relevant solution delivery experience are encouraged to apply.4. What You Will GainMotivation to serve to the greater cause of climate change mitigation.Knowledge, skills, and professional networking in one of the most exciting and positively impactful technology domains on the intersection of electrical engineering, machine learning, optimization, and software development.Startup experience and ground floor opportunities for growth in an inter-disciplinary team that includes PhD Smart Grid and Machine Learning Scientists, recent grads, and seasoned business professionals.Competitive compensation.High quality of life and career in Canada's National Capital Region or remote work.Working on a team with a serious approach towards our work, rather than ourselves, together with fun and random team events.5. General InformationLevel: All experience ranges are encouraged to applyPosition Type: Full-timeLocation: Ottawa, ON (can be remote for exceptional candidates)Department: Applied SciencePosition Reports to: Director of Machine LearningDiversity makes us stronger. BluWave-ai provides equal employment opportunities to all employees and applicants without regard to race, color, religion, sex, gender, national origin, disability, or any other characteristic protected by applicable laws, regulations, or ordinances. Authorization to work in Canada is required for this position.MBQdeMVxiX",https://ca.indeed.com/rc/clk?jk=800d6fab51017f5f&fccid=ff8a8fcb1d282c0a&vjs=3
Data Science Intern - Toronto,PepsiCo,"Mississauga, ON","Auto req ID: 269528BRJob DescriptionPOSITION: Data Science InternLOCATION: Mississauga, ONTERM: May 2nd- August 26thPepsiCo Canada is recognized as one of Canada’s top 100 employers. PepsiCo products are enjoyed by consumers more than one billion times a day in more than 200 countries and territories around the world. Our product portfolio includes 22 world-famous, billion-dollar brands, from Gatorade to Quaker, Tropicana to Lay’s and more. We make hundreds of enjoyable foods and beverages that are loved throughout the world.We are always centered on the consumer, developing exciting brand campaigns, and continuously driving product innovations. We strive to use our global scale for good and to create our products in a way that benefits our consumers, suppliers, communities, and planet – part of our mission is to Create more Smiles with Every Sip and Every Bite.Position SummaryAre you excited about analytics and passionate about problem solving? Then come join our Data Science team at PepsiCo Foods Canada! We are focused on accelerating consumer demand, strengthening customer partnership, and driving end to end productivity through data science and advanced analytics. We work with Shopper Insights, Shopper Marketing, Category Leadership, Supply Chain, and IT resources to unlock opportunities. Being embedded in the business and linked to the top strategic priorities allows us to build best-in-class capabilities, develop deep functional expertise, and offer focused products in an agile responsive manner.Help us solve new and exciting business problems with data analysis, advanced analytics, and a love of problem solving. Success in this role will require exceptional data analysis skills, an analytical mindset, intellectual curiosity, and strong appreciation for delivering business results. Strong communication and collaboration skills are required.ResponsibilitiesTranslate Business needs into technical requirementsCollaborating with business stakeholders and technical teams to deliver a variety of projectsDeliver advanced analytics and data science projects from end-to-endEffectively communicating insights to project stakeholdersComplete proof of conceptsSupport the adoption of solutions into the business processQualifications/RequirementsJob RequirementsWorking towards bachelor’s degree in Data/Computer Science, Mathematics/Statistics, an engineering discipline, or equivalent.Familiarity with statistical modeling, machine learning and/or deep learning modelingKnowledge of statistical analysis tools like R or PythonKnowledge of Databases and SQL programming skillsAbility to translate business and technical requirements into non-technical termsStrong communication and collaboration skillsAnalytical and conceptual thinking skillsDemonstrated ability to thrive in fast paced environmentAbility to work independently with minimal supervisionDEADLINE TO APPLY: Sunday March 27, 2022 at 11:59 PM (EST)Relocation Eligible: Not Applicable",https://ca.indeed.com/rc/clk?jk=3d71bfcc12ac2796&fccid=2973259ddc967948&vjs=3
Data Scientist,Royal Bank of Canada,"Toronto, ON","Come Work with Us!At RBC, our culture is deeply supportive and rich in opportunity and reward. You will help our clients thrive and our communities prosper, empowered by a spirit of shared purpose.Whether you’re helping clients find new opportunities, developing new technology, or providing expert advice to internal partners, you will be doing work that matters in the world, in an environment built on teamwork, service, responsibility, diversity, and integrity.Job TitleData ScientistJob DescriptionWhat is the opportunity?Who wouldn't want to be a part of a fantastic team of Data Scientists? At RBC, our Data Science teams offer the opportunity to leverage RBC’s data assets to develop innovative solutions in support of RBCs big data strategy. This position is an essential part to the bank as you develop next-generation applications to meet our customers’ needs. By joining the RBC team as a Data Scientist, you will have the opportunity to analyze, design and implement data solutions to assist all business customers.What will you do?Utilize the latest technologies available, designing and building data solutions to meet business needsBe an active contributor to not only your individual team, but to the RBC development communityConstantly seek out better ways to do things, new tools, new technologies, new processesWork on transformational projects delivering new valueWork as part of an agile team responsible for end-to-end delivery of business needsDeploy production-scale solutions using the Hadoop Ecosystem, transforming statistical and machine learning modelsUse business domain knowledge to independently lead the analytics process to identify valuable and innovative insightsPromote analytics across the enterprise to enable RBC to become a data-driven organizationWhat do you need to succeed?Must-haveProgramming skills in one or more of the following languages: Python or ScalaExperience utilizing SQL scripts/queryingProficient in building statistical and machine learning models with complex and large datasets, including but not limited to: statistical modelling, supervised learning, clustering, regression, natural language processing, ensemble models (bagging, boosting), times-series analysis, experimental design (A/B testing), data visualizationAbility to data extract, transform, and load processes with a variety of data typesAbility to perform complex data analysis on large volumes of data and present findings to stakeholdersFamiliar with Big Data ecosystemNice-to-haveExperience with big data technologies, primarily in machine learning and statistics functionExposure to Apache Spark, Hadoop ecosystem and cloud technologies, data serialization (JSON, Avro, Parquet)Comfortable working in Linux environmentExperience with big data processing tools like Spark and Hive, GitHub functionality and workflow experience/exposureExperience with messaging (Kafka) & working on Agile projectsWhat’s in it for you?We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients succeed. We care about each other, reaching our potential, making a difference to our communities and achieving success that is mutual.Continued career advancement opportunitiesExposure to strong mentorship and leadership examplesA world-class training program in financial servicesOpportunities to be a valuable member of a close-knit, collaborative team that encourages networkingRBC requires as a condition of employment that all successful candidates in the United States and Canada be fully vaccinated against COVID-19 prior to their start date, and may require proof of the same. Reasonable accommodation is available where required by law.RBC exige, à titre de condition d'emploi, que tous les candidats retenus aux États-Unis ou au Canada soient entièrement vaccinés contre la COVID-19 avant leur date d'entrée en fonction. Il est possible qu'ils aient à présenter une preuve vaccinale. Des mesures raisonnables d'adaptation sont offertes lorsque la loi l'exigeJob SummaryAddress:TORONTO, Ontario, CanadaCity:CAN-ON-TORONTOCountry:CanadaWork hours/week:37.5Employment Type:Full timePlatform:Technology and OperationsJob Type:RegularPay Type:SalariedPosted Date:2022-03-16-07:00Application Deadline:2022-03-16-07:00Inclusion and Equal Opportunity EmploymentAt RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.Join our Talent CommunityStay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers.",https://ca.indeed.com/rc/clk?jk=5b122d152bf4a3ef&fccid=537b899e30af3338&vjs=3
MTS 2 - Data Scientist,eBay Inc.,"Remote in Toronto, ON","Looking for a company that inspires passion, courage and creativity, where you can be on the team shaping the future of global commerce? Want to shape how millions of people buy, sell, connect, and share around the world? If you’re interested in joining a purpose driven community that is dedicated to crafting an ambitious and inclusive work environment, join eBay – a company you can be proud to be with.We are building a world class team of data scientists and currently are seeking a creative and bright data scientist to design, train and maintain machine learning models to solve various challenging problems in the ecommerce world. Data pipelines and ML models we build serve as data backends for our applications that help businesses and individuals worldwide to on-board, manage inventory & listing and grow their business on the largest global marketplace.In this role, you will contribute at the very core of eBay’s selling tools, to deliver an engaging user experience for more than 25 million sellers across 22 nations, who collectively generate billions of dollars in revenue quarterly. You will work with stakeholders including the Product, Data and Infrastructure teams in developing machine learning models that solve seller-centric problems. Performance, reliability, scalability and accuracy are of utmost importance as this area of work is at the absolute top of the funnel for all of eBay’s massive e-commerce ecosystem.Below are some of the problems we are working on:Building similarity models by text/feature analysis for large datasets.Item classification based on textual information combined with numerical metrics across massive datasets.Text feature extraction.Designing adaptive outlier removal/noise filtering algorithms.Time-series data analytics, detecting seasonality patterns.QualificationsMathematics/ML/statistics fundamentals.Production-level experience in building and maintaining ML models, applying NLP analysis on large-scale datasets, structured and unstructured, and integrating them into big data processing pipelines.Strong knowledge of modern ML frameworks and libraries.Experience in estimating and analyzing the accuracy of statistical/ML models.Strong coding skills in one or more programming languages.Good understanding of distributed computing/algorithms and challenges that lie within.Ability to work through high-level business requirements and bring them to actionable designs and solutions.Creative thinking, able to come up with alternative solutions to fit business requirements.MS/Bachelor or equivalent in Computer Science or related field, 3-5 years of relevant industry experience.Bonus PointsExperience in unsupervised learning models.Good foundation of applying cognitive approach to NLP.Hands-on knowledge of distributed data processing tools like Spark / Hadoop.Prior experience of applied research in ecommerce problems, using ML in supply/demand analysis.Understanding of large system design, including trade-offs in performance vs complexity, speed vs complexity, and extensibility vs complexity.Experience presenting architecture and machine learning models to technical and non-technical audiencesThe character & qualities that will help you succeed:You're tenacious, persistent, & industrious; not just hardworking.You don’t need (and don’t like) micromanagement. Given context, you're capable of self-direction and how to spend your time wisely.Great teammate who feels at home in an open team environment, and takes pride in a job well done.You're known as a creative, innovative and out-of-the-box problem solver.Benefits are an essential part of your total compensation for the work you do every day. Whether you’re single, in a growing family, or nearing retirement, eBay offers a variety of comprehensive and competitive benefit programs to meet your needs. Including maternal & paternal leave, paid sabbatical, and plans to help ensure your financial security today and in the years ahead because we know feeling financially secure during your working years and through retirement is important.Here at eBay, we love creating opportunities for others by connecting people from widely diverse backgrounds, perspectives, and geographies. So, being diverse and inclusive isn’t just something we strive for, it is who we are, and part of what we do each and every single day. We want to ensure that as an employee, you feel eBay is a place where, no matter who you are, you feel safe, included, and that you have the opportunity to bring your unique self to work. To learn about eBay’s Diversity & Inclusion click here: https://www.ebayinc.com/company/diversity-inclusion/eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible. Jobs posted with location as ""Remote - United States (Excludes CO, HI, NM)"" excludes Colorado, Hawaii and New Mexico.",https://ca.indeed.com/rc/clk?jk=d644a7a5d2e88881&fccid=ccf155b8e5eb4bf8&vjs=3
